                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.0917,                 2.1044,                 1.0406,                 1.1415,                0.79919,                0.43034,                0.49096,                 0.3264,                0.80663,                 0.4367,                0.49726,                0.30923,                 1.2975,                 2.1575,                  1.265,                 1.3094,             0.00080653,             0.00080653,             0.00080653
                     25,                 1.0941,                  2.102,                 1.0292,                 1.1411,                 0.7901,                0.44179,                0.51622,                0.32046,                0.79753,                0.43416,                0.51127,                0.31919,                 1.3104,                 2.0914,                 1.3059,                 1.3168,             0.00077823,             0.00077823,             0.00077823
                     26,                 1.0752,                  2.092,                 1.0047,                 1.1312,                0.72828,                0.46199,                 0.4989,                 0.3176,                0.79477,                0.43162,                 0.4944,                0.30381,                 1.2615,                 2.0738,                 1.2123,                 1.2756,             0.00074994,             0.00074994,             0.00074994
                     27,                 1.0642,                 2.0657,                  1.012,                 1.1233,                0.73245,                0.43553,                0.50297,                0.32313,                 0.7417,                0.44098,                0.50486,                0.32064,                 1.2911,                 2.1395,                 1.2019,                  1.275,             0.00072164,             0.00072164,             0.00072164
                     28,                 1.0514,                 2.0535,                 0.9912,                 1.1288,                0.57021,                0.59679,                0.59298,                 0.3618,                0.57297,                0.60174,                0.59484,                0.32032,                 1.3057,                 2.0949,                 1.1562,                 1.3057,             0.00069335,             0.00069335,             0.00069335
                     29,                 1.0472,                 2.0322,                 0.9839,                   1.11,                 0.7442,                0.41685,                0.53524,                0.36604,                0.70854,                0.43798,                0.53572,                0.35867,                 1.2359,                 2.0456,                 1.1963,                 1.2799,             0.00066506,             0.00066506,             0.00066506
                     30,                 1.0377,                 2.0129,                0.93842,                 1.1069,                0.54675,                0.65213,                0.62403,                0.42104,                0.54879,                0.65594,                0.62741,                0.37541,                 1.2389,                 2.0893,                 1.1718,                 1.2844,             0.00063676,             0.00063676,             0.00063676
                     31,                 1.0335,                 1.9884,                0.93882,                 1.1079,                0.76038,                0.45706,                0.50105,                 0.3329,                0.76038,                0.45706,                0.49821,                 0.3332,                 1.2293,                  2.227,                 1.2458,                 1.2653,             0.00060847,             0.00060847,             0.00060847
                     32,                 1.0173,                 1.9722,                0.93463,                  1.107,                0.72594,                0.41253,                0.49837,                0.32998,                0.72439,                0.41126,                0.49148,                0.32896,                 1.2805,                 2.2269,                 1.3032,                 1.2922,             0.00058017,             0.00058017,             0.00058017
                     33,                0.99107,                  1.942,                0.92427,                 1.0993,                0.53866,                0.62669,                0.56026,                0.37471,                0.53437,                0.62749,                0.55687,                0.37535,                 1.2486,                 2.1088,                 1.1502,                 1.2736,             0.00055188,             0.00055188,             0.00055188
